 Category, Value, Question, Answer
HISTORY,$200 ,"For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory",Copernicus
ESPN's TOP 10 ALL-TIME ATHLETES,$200 ,"No. 2: 1912 Olympian; football star at Carlisle Indian School; 6 MLB seasons with the Reds, Giants & Braves",Jim Thorpe
EVERYBODY TALKS ABOUT IT...,$200 ,"The city of Yuma in this state has a record average of 4,055 hours of sunshine each year",Arizona
THE COMPANY LINE,$200 ,"In 1963, live on ""The Art Linkletter Show"", this company served its billionth burger",McDonald's
EPITAPHS & TRIBUTES,$200 ,"Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States",John Adams
3-LETTER WORDS,$200 ,"In the title of an Aesop fable, this insect shared billing with a grasshopper",the ant
HISTORY,$400 ,"Built in 312 B.C. to link Rome & the South of Italy, it's still in use today",the Appian Way
ESPN's TOP 10 ALL-TIME ATHLETES,$400 ,"No. 8: 30 steals for the Birmingham Barons; 2,306 steals for the Bulls",Michael Jordan
EVERYBODY TALKS ABOUT IT...,$400 ,"In the winter of 1971-72, a record 1,122 inches of snow fell at Rainier Paradise Ranger Station in this state",Washington
THE COMPANY LINE,$400 ,This housewares store was named for the packaging its merchandise came in & was first displayed on,Crate & Barrel
EPITAPHS & TRIBUTES,$400 ,"""And away we go""",Jackie Gleason
3-LETTER WORDS,$400 ,Cows regurgitate this from the first stomach to the mouth & chew it again,the cud
HISTORY,$600 ,In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea,Ceylon (or Sri Lanka)
ESPN's TOP 10 ALL-TIME ATHLETES,$600 ,"No. 1: Lettered in hoops, football & lacrosse at Syracuse & if you think he couldn't act, ask his 11 ""unclean"" buddies",Jim Brown
EVERYBODY TALKS ABOUT IT...,$600 ,"On June 28, 1994 the nat'l weather service began issuing this index that rates the intensity of the sun's radiation",the UV index
THE COMPANY LINE,$600 ,"This company's Accutron watch, introduced in 1960, had a guarantee of accuracy to within one minute a  month",Bulova
EPITAPHS & TRIBUTES,$600 ,"Outlaw: ""Murdered by a traitor and a coward whose name is not worthy to appear here""",Jesse James
3-LETTER WORDS,$600 ,"A small demon, or a mischievous child (who might be a little demon!)",imp
HISTORY,$800 ,Karl led the first of these Marxist organizational efforts; the second one began in 1889,the International
ESPN's TOP 10 ALL-TIME ATHLETES,$800 ,"No. 10: FB/LB for Columbia U. in the 1920s; MVP for the Yankees in '27 & '36; ""Gibraltar in Cleats""",(Lou) Gehrig
EVERYBODY TALKS ABOUT IT...,$800 ,"Africa's lowest temperature was 11 degrees below zero in 1935 at Ifrane, just south of Fez in this country",Morocco
THE COMPANY LINE,$800 ,Edward Teller & this man partnered in 1898 to sell high fashions to women,(Paul) Bonwit
EPITAPHS & TRIBUTES,"$2,000 ","1939 Oscar winner: ""...you are a credit to your craft, your race and to your family""",Hattie McDaniel (for her role in Gone with the Wind)
3-LETTER WORDS,$800 ,"In geologic time one of these, shorter than an eon, is divided into periods & subdivided into epochs",era
HISTORY,"$1,000 ","This Asian political party was founded in 1885 with ""Indian National"" as part of its name",the Congress Party
ESPN's TOP 10 ALL-TIME ATHLETES,"$1,000 ",No. 5: Only center to lead the NBA in assists; track scholarship to Kansas U.; marathoner; volleyballer,(Wilt) Chamberlain
THE COMPANY LINE,"$1,000 ","The Kirschner brothers, Don & Bill, named this ski company for themselves & the second-highest mountain",K2
EPITAPHS & TRIBUTES,"$1,000 ","Revolutionary War hero: ""His spirit is in Vermont now""",Ethan Allen
3-LETTER WORDS,"$1,000 ","A single layer of paper, or to perform one's craft diligently",ply
DR. SEUSS AT THE MULTIPLEX,$400 ,"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_23.mp3"">Beyond ovoid abandonment, beyond ovoid betrayal... you won't believe the ending when he ""Hatches the Egg""</a>",Horton
PRESIDENTIAL STATES OF BIRTH,$400 ,California,Nixon
AIRLINE TRAVEL,$400 ,"It can be a place to leave your puppy when you take a trip, or a carrier for him that fits under an airplane seat",a kennel
THAT OLD-TIME RELIGION,$400 ,"He's considered the author of the Pentateuch, which is hard to believe, as Deuteronomy continues after his death",Moses
MUSICAL TRAINS,$400 ,"Steven Tyler of this band lent his steamin' vocals to ""Train Kept A-Rollin'"", first popularized by the Yardbirds",Aerosmith
"""X""s & ""O""s",$400 ,Around 100 A.D. Tacitus wrote a book on how this art of persuasive speaking had declined since Cicero,oratory
PRESIDENTIAL STATES OF BIRTH,$800 ,1 of the 2 born in Vermont,Coolidge (or Chester Arthur)
AIRLINE TRAVEL,$800 ,"When it began on Pan Am & Qantas in the late '70s, it was basically a roped-off part of the economy cabin with free drinks",business class
THAT OLD-TIME RELIGION,$800 ,"Ali, who married this man's daughter Fatima, is considered by Shia Muslims to be his true successor",Muhammed
MUSICAL TRAINS,$800 ,"During the 1954-1955 Sun sessions, Elvis climbed aboard this train ""sixteen coaches long""","the ""Mystery Train"""
"""X""s & ""O""s",$800 ,"The shorter glass seen <a href=""http://www.j-archive.com/media/2004-12-31_DJ_12.jpg"" target=""_blank"">here</a>, or a quaint cocktail made with sugar & bitters",an old-fashioned
DR. SEUSS AT THE MULTIPLEX,"$1,200 ","<a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">Ripped from today's headlines, he was a turtle king gone mad; Mack was the one good turtle who'd bring him down</a>",Yertle
AIRLINE TRAVEL,"$2,000 ","In 2003 this airline agreed to buy KLM, creating Europe's largest airline",Air France
THAT OLD-TIME RELIGION,"$1,200 ",Philadelphia got its start as a colony for this religious group of which William Penn was a member,the Quakers
MUSICAL TRAINS,"$1,200 ","This ""Modern Girl"" first hit the Billboard Top 10 with ""Morning Train (Nine To Five)""",(Sheena) Easton
"""X""s & ""O""s","$1,200 ","This stiff silken fabric is favored for bridal gowns, like Christina Applegate's in 2001",organza
DR. SEUSS AT THE MULTIPLEX,"$1,600 ","<a href=""http://www.j-archive.com/media/2004-12-31_DJ_25.mp3"">Somewhere between truth & fiction lies Marco's reality... on Halloween, you won't believe you saw it on this St.</a>",Mulberry Street
AIRLINE TRAVEL,"$1,600 ",In 2004 United launched this new service that features low fares & more seats per plane,Ted
THAT OLD-TIME RELIGION,"$1,600 ",With Mary I's accession in 1553 he ran to Geneva; he returned in 1559 & reformed the Church of Scotland,(John) Knox
MUSICAL TRAINS,"$1,600 ","This band's ""Train In Vain"" was a hidden track on its original 1979 ""London Calling"" album",The Clash
"""X""s & ""O""s","$1,600 ","Cross-country skiing is sometimes referred to by these 2 letters, the same ones used to denote 90 in Roman numerals",XC
DR. SEUSS AT THE MULTIPLEX,"$2,000 ","<a href=""http://www.j-archive.com/media/2004-12-31_DJ_24.mp3"">""500 Hats""... 500 ways to die.  On July 4th, this young boy will defy a king... & become a legend</a>",Bartholomew Cubbins
AIRLINE TRAVEL,"$2,000 ","In the seat pocket you'll find the catalog called ""Sky"" this, with must-haves like a solar-powered patio umbrella",Mall
THAT OLD-TIME RELIGION,"$3,200 ",In 1534 he & his buddy Francis Xavier founded the Society of Jesus,(St. Ignatius) Loyola
MUSICAL TRAINS,"$2,000 ","In 1961 James Brown announced ""all aboard"" for this train","""Night Train"""
"""X""s & ""O""s","$2,000 ",This 1797 imbroglio began when 3 French agents demanded a huge bribe from U.S. diplomats,the XYZ Affair
THE SOLAR SYSTEM,"$2,000 ",Objects that pass closer to the sun than Mercury have been named for this mythological figure,Icarus
"GEOGRAPHY ""E""",$200 ,It's the largest kingdom in the United Kingdom,England
RADIO DISNEY,$200 ,"""Party In The U.S.A."" is by this singer who also plays a young lady named Hannah",Miley Cyrus
PARTS OF PEACH,$200 ,"If this part of a peach is downy or fuzzy, the fruit's called a peach; if it's smooth, a nectarine",the skin
BE FRUITFUL & MULTIPLY,$200 ,4 x 12,48
LET'S BOUNCE,$200 ,This verb for bouncing a basketball sounds like you're slobbering,dribbling
RHYMES WITH SMART,$200 ,Blood pumper,heart
"GEOGRAPHY ""E""",$400 ,"(<a href=""http://www.j-archive.com/media/2010-07-06_J_22.wmv"">Tate: I'm Tate Shaffer aboard the <i>National Geographic Endeavour</i>.  Alex: And...</a>)  We're here in the Galapagos Islands at zero degrees latitude, which means we're right above this imaginary line that goes all the way around the Earth",the equator
RADIO DISNEY,$400 ,"""Everybody Else"" knows these huggable toys precede ""On Fire"" in the name of a Radio Disney top 30 band; do you?",Care Bears
PARTS OF PEACH,$400 ,Peaches are more than 80% this compound,H2O
BE FRUITFUL & MULTIPLY,$400 ,7 x 7 x 2,98
LET'S BOUNCE,$400 ,Sound navigation& ranging is the full name for this device that bounces radio waves underwater,sonar
RHYMES WITH SMART,$400 ,"Small, slender missile thrown at a board in a game",a dart
"GEOGRAPHY ""E""",$600 ,"This island in the South Pacific is named for the day of its discovery, a religious holiday",Easter Island
RADIO DISNEY,$600 ,"""The songs on 'Under My Skin' are...deeper than those on 'Let Go'"" said this Canadian on Radio Disney's website",Avril Lavigne
PARTS OF PEACH,$600 ,5-letter word for the hard interior of a peach,the stone
BE FRUITFUL & MULTIPLY,$600 ,3 x 4 x 5 x 6,360
LET'S BOUNCE,$600 ,"In this kid's game, you bounce a small rubber ball while picking up 6-pronged metal objects",jacks
RHYMES WITH SMART,$600 ,It can be a separating line in your hair or a role in a play,a part
"GEOGRAPHY ""E""",$800 ,Parts of the Arabian and Libyan deserts are found in this African country,Egypt
RADIO DISNEY,$800 ,"""I Never Told You"" this alliteratively named singer hit Disney's Top 30 with ""Fallin' For You""; wait, I just did",Colbie Caillat
PARTS OF PEACH,$800 ,"These parts of a peach tree are glossy green, pointed & lance shaped",leaves
BE FRUITFUL & MULTIPLY,$800 ,5 x 10 x 15,750
LET'S BOUNCE,$800 ,"It's a type of bounce house, or a dance made famous by Michael Jackson",the moonwalk
RHYMES WITH SMART,$800 ,A graphic representation of information,a chart
"GEOGRAPHY ""E""","$2,000 ",The family history you wrote for school might include entering the U.S. at this island in New York Bay,Ellis Island
RADIO DISNEY,"$1,000 ","Lead singer Ryan Tedder of this band has ""All The Right Moves""",OneRepublic
PARTS OF PEACH,"$1,000 ",These parts of a peach tree grow at nodes along the shoots of the previous season's growth; they're usually pink,blossoms
BE FRUITFUL & MULTIPLY,"$1,000 ","2 x 1,035","2,070"
LET'S BOUNCE,"$1,000 ","This device whose name is from the Italian for ""springboard"" was perfected in the 1930s",a trampoline
RHYMES WITH SMART,"$1,000 ",Composer Wolfgang,Mozart
SCIENCE CLASS,$400 ,99.95% of the mass of an atom is in this part,the nucleus
KIDS IN SPORTS,$400 ,"Park View of Chula Vista, California beat Taipei 6-3 to win this organization's 2009 World Series",the Little League
JUST THE FACTS,$400 ,This hero of several books is 11 when he discovers he's a wizard,Harry Potter
SEE & SAY,$400 ,"Say the name of <a href=""http://www.j-archive.com/media/2010-07-06_DJ_26.jpg"" target=""_blank"">this</a> type of mollusk you see",an octopus
NEWS TO ME,$400 ,"A 7.0 magnitude earthquake in this Caribbean country Jan. 12, 2010 brought a world outpouring of aid",Haiti
IN THE DICTIONARY,$400 ,It's the 4-letter name of the pleated skirt worn by men in Scotland,a kilt
SCIENCE CLASS,$800 ,"During this plant process, carbon dioxide & water combine with light energy to create oxygen & glucose",photosynthesis
KIDS IN SPORTS,$800 ,The perfect waves of New Zealand's Piha Beach were the site for the 2010 World Junior Championships of this,surfing
JUST THE FACTS,$800 ,"This city, the seat of Clark County, Nevada, has been called ""the entertainment capital of the world""",Las Vegas
SEE & SAY,$800 ,"Say <a href=""http://www.j-archive.com/media/2010-07-06_DJ_27.jpg"" target=""_blank"">this</a> state that was admitted to the Union in 1859",Oregon
NEWS TO ME,$800 ,This car company has been in the news for widespread recalls of its Corollas & other models,Toyota
IN THE DICTIONARY,$800 ,"As an adjective, it can mean proper; as a verb, ""to grade papers""",correct
SCIENCE CLASS,"$1,200 ",The wedge is an adaptation of the simple machine called the inclined this,plane
